Artist Name,Content Name,Feature Name,Event Start Timestamp,Genre
Mattiel,Keep the Change,for_you / recently_played / playlist_detail,2019-04-24 17:16:14.690000+00:00,Indie Rock
She Keeps Bees,Kinship,for_you / recently_played / playlist_detail,2019-04-24 17:16:19.581000+00:00,Alternative
"Phoebe Bridgers, Conor Oberst, Better Oblivion Community Center",Dylan Thomas,for_you / recently_played / playlist_detail,2019-04-24 17:16:33.678000+00:00,Indie Rock
Fontaines D.C.,Boys In the Better Land,for_you / recently_played / playlist_detail,2019-04-24 17:16:45.848000+00:00,Alternative
Christelle Bofale,U Ouchea,for_you / recently_played / playlist_detail,2019-04-24 17:16:53.966000+00:00,Alternative
Sky Ferreira,Downhill Lullaby,for_you / recently_played / playlist_detail,2019-04-24 17:16:56.754000+00:00,Alternative
Orville Peck,Dead of Night,for_you / recently_played / playlist_detail,2019-04-24 17:16:59.786000+00:00,Alternative
Peggy Gou,Han Pan,for_you / recently_played / playlist_detail,2019-04-24 17:25:53.171000+00:00,House
"Triathalon, Deaton Chris Anthony",Mr. Call You Back,library / artists / artist_detail,2019-04-25 19:18:34.394000+00:00,Alternative
Sharon Van Etten,Seventeen,for_you / days_playlist / playlist_detail,2019-04-25 19:19:26.259000+00:00,Alternative
M.I.A.,Paper Planes,for_you / days_playlist / playlist_detail,2019-04-25 19:19:40.971000+00:00,Electronic
Tame Impala,Borderline,for_you / days_playlist / playlist_detail,2019-04-25 19:24:40.697000+00:00,Alternative
The 1975,It's Not Living (If It's Not With You),for_you / days_playlist / playlist_detail,2019-04-25 19:25:42.068000+00:00,Alternative
Two Door Cinema Club,Talk (Single Edit),for_you / recently_played / playlist_detail,2019-04-26 07:11:02.736000+00:00,Alternative
Gorillaz,Feel Good Inc.,for_you / recently_played / playlist_detail,2019-04-26 07:11:04.328000+00:00,Alternative
Kings of Leon,Waste a Moment,for_you / recently_played / playlist_detail,2019-04-26 07:16:38.487000+00:00,Alternative
Florence + the Machine,Moderation,for_you / recently_played / playlist_detail,2019-04-26 07:16:43.725000+00:00,Alternative
Franz Ferdinand,Take Me Out,for_you / recently_played / playlist_detail,2019-04-26 07:16:47.284000+00:00,Pop
Klaxons,Golden Skans,for_you / recently_played / playlist_detail,2019-04-26 07:16:51.397000+00:00,Electronic
Kasabian,Fire,for_you / recently_played / playlist_detail,2019-04-26 07:17:49.353000+00:00,Alternative
Royal Blood,Figure It Out,for_you / recently_played / playlist_detail,2019-04-26 07:18:10.348000+00:00,Alternative
Gossip,Standing In the Way of Control,for_you / recently_played / playlist_detail,2019-04-26 07:21:14.239000+00:00,Rock
Yeah Yeah Yeahs,Heads Will Roll,for_you / recently_played / playlist_detail,2019-04-26 07:23:26.899000+00:00,Rock
Oasis,Don't Look Back in Anger,search / artist_detail,2019-04-26 07:27:23.804000+00:00,Alternative
Blur,Girls and Boys,search / artist_detail,2019-04-26 07:38:56.156000+00:00,Alternative
Marika Hackman,i’m not where you are,search / artist_detail,2019-05-05 15:19:56.924000+00:00,Alternative
Benny Mails,Aware (feat. Marika Hackman),search / artist_detail,2019-05-05 15:23:42.882000+00:00,Hip-Hop
Soundgarden,Spoonman,for_you / artist_playlist / playlist_detail,2019-05-05 15:37:19.232000+00:00,Hard Rock
The Detroit Cobras,Shout Bamalama,for_you / artist_playlist / playlist_detail,2019-05-05 17:15:32.048000+00:00,Alternative
Beastie Boys,Sabotage (2009 Remaster),search / artist_detail,2019-05-05 17:20:36.395000+00:00,Hip Hop/Rap
The Go,Suzy Don't Leave,for_you / artist_playlist / playlist_detail,2019-05-05 18:24:03.615000+00:00,Alternative
Mark Ronson,Here Comes the Fuzz,for_you / artist_playlist / playlist_detail,2019-05-05 18:24:43.948000+00:00,Dance
"Jack White, Alicia Keys",Another Way to Die,for_you / artist_playlist / playlist_detail,2019-05-05 18:25:35.202000+00:00,R&B/Soul
No Doubt,Just a Girl,for_you / artist_playlist / playlist_detail,2019-05-06 19:01:49.571000+00:00,Pop
BP Fallon,I Believe in Elvis Presley,for_you / artist_playlist / playlist_detail,2019-05-06 19:26:53.897000+00:00,Rock & Roll
The Cardigans,My Favourite Game,for_you / days_albums / album_detail / artist_detail,2019-05-07 05:40:31.608000+00:00,Rock
Diamond Head,It's Electric,for_you / artist_detail,2019-05-07 06:11:10.221000+00:00,Heavy Metal
Dayglow,Can I Call You Tonight?,search / artist_detail,2019-05-08 18:17:43.522000+00:00,Alternative
Beach Fossils,This Year,for_you / days_albums / album_detail,2019-05-10 06:09:10.416000+00:00,Indie Rock
Childish Gambino,IV. Sweatpants,for_you / days_albums / album_detail,2019-05-11 06:31:01.624000+00:00,Hip Hop/Rap
Wu-Tang Clan,"The Heart Gently Weeps (feat. Erykah Badu, Dhani Harrison & John Frusciante)",for_you / artist_playlist / playlist_detail,2019-05-11 06:31:45.900000+00:00,Hip Hop/Rap
"Tyler, The Creator",Who Dat Boy (feat. A$AP Rocky),search / artist_detail,2019-05-11 06:32:31.885000+00:00,Hip Hop/Rap
The Orange Revival,Saturation,for_you / music_reco_module / album_detail,2019-05-15 05:35:05.670000+00:00,Rock
Борис Гребенщиков,Пока горит свеча (Live),search,2019-05-15 09:19:54.284000+00:00,Singer/Songwriter
The Last Shadow Puppets,Standing Next to Me,for_you / music_reco_module / playlist_detail / artist_detail / artist_detail,2019-05-16 06:49:42.341000+00:00,Alternative
Inner Wave,Mushroom,for_you / personalized_mix / playlist_detail,2019-05-19 16:37:01.484000+00:00,Rock
Pancho and the Wizards,Reoccurring Cave,for_you / personalized_mix / playlist_detail,2019-05-27 19:28:23.264000+00:00,Rock
Alann8h,Pink Motel,for_you / personalized_mix / playlist_detail,2019-05-27 19:33:13.244000+00:00,Alternative
5'nizza,Ямайка,search / artist_detail / artist_see_all,2019-05-28 09:40:00.954000+00:00,Reggae
ssshhhiiittt!,19,search / artist_detail,2019-05-29 19:59:56.965000+00:00,Rock
Green Day,Road to Acceptance,search / artist_detail / artist_see_all / album_detail,2019-06-03 20:34:03.574000+00:00,Punk
Самое Большое Простое Число,У нас есть всё,search / artist_detail,2019-06-03 20:51:27.775000+00:00,Alternative
Biosphere,Laika,search,2019-06-05 20:12:52.449000+00:00,Ambient
Vitalic,Laïka,search,2019-06-05 20:15:53.843000+00:00,Electronic
Ice MC,Laika,search,2019-06-05 20:18:04.908000+00:00,Dance
Можем повторить,"Детка, гори!",for_you / personalized_mix / playlist_detail,2019-06-05 22:03:56.190000+00:00,Indie Rock
The Kooks,She Moves In Her Own Way,search / artist_detail / playlist_detail,2019-06-06 05:53:21.643000+00:00,Alternative
Ocean Colour Scene,Hundred Mile High City,search / artist_detail / playlist_detail,2019-06-06 05:55:57.331000+00:00,Rock
Fieh,Brain,for_you / personalized_mix / playlist_detail,2019-06-07 08:18:12.964000+00:00,Soul
"Bluknight, Atwood",Today,for_you / personalized_mix / playlist_detail,2019-06-07 08:22:06.711000+00:00,Hip Hop/Rap
JNDRO,DaysWithYou (feat. Lina),for_you / personalized_mix / playlist_detail,2019-06-07 08:24:50.168000+00:00,R&B/Soul
"singular balance, Bonjr",Interstitial Space,for_you / personalized_mix / playlist_detail,2019-06-07 08:27:42.894000+00:00,Electronica
Beachside Blur,New Wave,for_you / personalized_mix / playlist_detail,2019-06-07 08:29:00.871000+00:00,Alternative
Quentin Arispe,Deliver,for_you / personalized_mix / playlist_detail,2019-06-07 08:31:37.237000+00:00,Alternative
The Summit,Crazy for Life,for_you / personalized_mix / playlist_detail,2019-06-07 08:34:10.602000+00:00,Rock
Mauri Dio,Peachy Keen,for_you / personalized_mix / playlist_detail,2019-06-07 08:34:44.344000+00:00,Alternative
no reception.,Penny,for_you / personalized_mix / playlist_detail,2019-06-07 08:34:47.177000+00:00,Rock
Hailey Orion,Oh Well (feat. Malik),for_you / personalized_mix / playlist_detail,2019-06-07 08:37:29.260000+00:00,Pop
Ysanygo,Even in an Alternate Universe,for_you / personalized_mix / playlist_detail,2019-06-07 08:40:31.567000+00:00,Pop
flo.wav,Breathe Easy (feat. The Primetime Nino),for_you / personalized_mix / playlist_detail,2019-06-07 08:45:37.242000+00:00,Hip Hop/Rap
Far Caspian,Astoria,for_you / personalized_mix / playlist_detail,2019-06-07 08:49:38.530000+00:00,Indie Rock
fern,5 A.M. at the Moxy (feat. Blue K),for_you / personalized_mix / playlist_detail,2019-06-07 08:53:45.029000+00:00,Alternative
The Slaps,I Wanna,for_you / personalized_mix / playlist_detail,2019-06-07 08:56:37.980000+00:00,Alternative
Münechild,Blue Dream,for_you / personalized_mix / playlist_detail,2019-06-07 09:01:06.768000+00:00,Alternative
Deaf Dreamer,Libra Moon,for_you / personalized_mix / playlist_detail,2019-06-07 09:03:47.230000+00:00,Alternative
Das Kope,Tiger,for_you / personalized_mix / playlist_detail,2019-06-07 09:07:33.611000+00:00,Indie Rock
Parting Lines,Break Free,for_you / personalized_mix / playlist_detail,2019-06-07 09:10:34.483000+00:00,Rock
Tear Ducks,Day After Day (Night After Night),for_you / personalized_mix / playlist_detail,2019-06-07 09:12:57.479000+00:00,Alternative
Metronomy,The Look,search / artist_detail,2019-06-07 15:33:54.213000+00:00,Electronic
Elton John,Tiny Dancer,search / artist_detail,2019-06-07 15:47:08.685000+00:00,Pop
"Elton John, Blue",Sorry Seems to Be the Hardest Word (Radio Edit),search / artist_detail,2019-06-07 15:47:20.710000+00:00,Rock
Papooz,Ann Wants to Dance,search,2019-06-08 21:33:16.735000+00:00,Alternative
The Rolling Stones,Anybody Seen My Baby?,search / artist_detail,2019-06-11 06:04:31.871000+00:00,Rock
T-Bone Walker,West Side Baby,radio / grouping,2019-06-11 06:28:03.933000+00:00,Blues
Howlin' Wolf,Crazy About You Baby,radio / grouping,2019-06-11 06:28:25.159000+00:00,Blues
Stevie Ray Vaughan & Double Trouble,Little Wing,radio / grouping,2019-06-11 06:29:00.597000+00:00,Rock
Matt Katsis,Call Me the Breeze,radio / grouping,2019-06-11 06:33:35.400000+00:00,Blues
Percy Mayfield,Please Send Me Someone to Love,radio / grouping,2019-06-11 06:36:39.076000+00:00,Blues
Muddy Waters,Tom Cat,radio / grouping,2019-06-11 06:37:50.304000+00:00,Blues
Son House,Death Letter Blues,radio / grouping,2019-06-11 06:40:45.009000+00:00,Blues
Sonny Boy Williamson,Help Me,radio / grouping,2019-06-11 06:41:29.867000+00:00,Blues
Z.Z. Hill,Down Home Blues,radio / grouping,2019-06-11 06:41:40.112000+00:00,Blues
Freddie King,Have You Ever Loved a Woman?,radio / grouping,2019-06-11 06:41:43.268000+00:00,Blues
